NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.4909965944371479, -0.6638062100556461]
NEAREST OBJECT: [0.7782036830578635, -0.7419368836473098]
NEAREST OBJECT: [0.7384780622100875, -0.724313398688327]
NEAREST OBJECT: [0.6862605041255585, -0.7076820526820781]
NEAREST OBJECT: [0.6368226367913887, -0.6888015381778289]
NEAREST OBJECT: [0.57690439936598, -0.6687547827001367]
NEAREST OBJECT: [0.5360820664890821, -0.6378102370016466]
NEAREST OBJECT: [0.4880206326949224, -0.6235998801093797]
NEAREST OBJECT: [0.3844050709907225, -0.5402854388297738]
NEAREST OBJECT: [0.40236283464433775, -0.5609851235641287]
NEAREST OBJECT: [0.45006395860363707, -0.475525454816303]
NEAREST OBJECT: [0.42338254289172916, -0.5387150679354807]
NEAREST OBJECT: [2.297343704136184, 1.4259447256884583]
NEAREST OBJECT: [0.44028308498270036, -0.5284294349449747]
